Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
11,tt0121220,2021-12-14,2021-12-14,,"Драконий жемчуг Зет","Dragon Ball Z: Doragon bôru zetto",https://www.imdb.com/title/tt0121220/,TV Series,8.8,24,1989,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",99459,1989-04-26,
12,tt0421357,2021-12-14,2021-12-14,,"Стальной алхимик","Hagane no renkinjutsushi",https://www.imdb.com/title/tt0421357/,TV Series,8.5,24,2003,"Animation, Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",84025,2003-10-04,
13,tt0112159,2021-12-14,2021-12-14,,"Евангелион","Shinseiki Evangelion",https://www.imdb.com/title/tt0112159/,TV Series,8.5,24,1995,"Animation, Action, Drama, Sci-Fi",103490,1995-10-04,
14,tt0994314,2021-12-14,2021-12-14,,"Код Гиас: Bосставший Лелуш","Kôdo Giasu: Hangyaku no Rurûshu",https://www.imdb.com/title/tt0994314/,TV Series,8.7,24,2006,"Animation, Action, Drama, Fantasy, Sci-Fi, Thriller",96724,2006-10-05,
15,tt9335498,2021-12-14,2021-12-14,,"Истребитель демонов : Kimetsu no Yaiba","Kimetsu no Yaiba",https://www.imdb.com/title/tt9335498/,TV Series,8.6,24,2019,"Animation, Action, Adventure, Fantasy, Thriller",207631,2019-04-06,
16,tt0280249,2021-12-14,2021-12-14,,"Драконий жемчуг","Dragon Ball",https://www.imdb.com/title/tt0280249/,TV Series,8.5,24,1995,"Animation, Action, Adventure, Fantasy, Sci-Fi, Thriller",73080,2001-08-20,
17,tt1910272,2021-12-14,2021-12-14,,"Врата Штейна","Steins;Gate",https://www.imdb.com/title/tt1910272/,TV Series,8.8,24,2011,"Animation, Comedy, Drama, Mystery, Romance, Sci-Fi, Thriller",87297,2011-04-06,
18,tt0088509,2021-12-14,2021-12-14,,"Драконий жемчуг","Dragon Ball: Doragon bôru",https://www.imdb.com/title/tt0088509/,TV Series,8.5,25,1986,"Animation, Action, Adventure, Comedy, Fantasy",74189,1986-02-26,
19,tt5626028,2021-12-14,2021-12-14,,"Моя геройская академия","Boku no Hîrô Akademia",https://www.imdb.com/title/tt5626028/,TV Series,8.2,24,2016,"Animation, Action, Adventure, Fantasy, Sci-Fi",100811,2016-04-03,
20,tt0434665,2021-12-14,2021-12-14,,"Блич","Bleach",https://www.imdb.com/title/tt0434665/,TV Series,8.2,24,2004,"Animation, Action, Adventure, Fantasy",86532,2004-10-05,
